종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
35760,CJ ENM ,"73,800","-2,400",-3.15,"9,332",7.91,"7,576",9.74,"182,220",0.41,"2,100",2.85
97950,CJ제일제당 ,"427,000",-500,-0.12,"38,246",11.16,"50,232",8.50,"381,542",1.12,"5,000",1.17
5830,DB손해보험 ,"56,300","-1,300",-2.26,"14,482",3.89,"11,963",4.71,"110,605",0.51,"3,500",6.22
383220,F&F ,"143,000","-3,500",-2.39,"6,061",23.59,"13,887",10.30,"14,307",10.00,"1,100",0.77
78930,GS ,"46,100",-300,-0.65,"15,304",3.01,"18,055",2.55,"108,672",0.42,"2,000",4.34
6360,GS건설 ,"22,250",-350,-1.55,"4,834",4.60,"5,728",3.88,"54,487",0.41,"1,300",5.84
267250,HD현대 ,"61,400",0,0.0,-,-,"16,188",3.79,"89,404",0.69,"5,550",9.04
28300,HLB ,"37,700",-900,-2.33,-,-,-,-,"4,009",9.40,0,0.0
11200,HMM ,"18,300",-700,-3.68,"13,506",1.35,"11,489",1.59,"21,179",0.86,600,3.28
105560,KB금융 ,"47,500",-400,-0.84,"11,134",4.27,"12,001",3.96,"121,808",0.39,"2,940",6.19
30200,KT ,"35,800",-300,-0.83,"5,759",6.22,"5,074",7.06,"63,512",0.56,"1,910",5.34
33780,KT&G ,"93,900",-600,-0.63,"7,898",11.89,"7,922",11.85,"76,336",1.23,"4,800",5.11
3550,LG ,"80,800",-300,-0.37,"15,504",5.21,"13,913",5.81,"132,574",0.61,"2,800",3.47
34220,LG디스플레이 ,"12,900",-300,-2.27,"3,315",3.89,-,-,"36,664",0.35,650,5.04
51900,LG생활건강 ,"522,000","-13,000",-2.43,"50,395",10.36,"32,124",16.25,"321,556",1.62,"12,000",2.3
373220,LG에너지솔루션 ,"589,000","20,000",3.51,"3,963",148.62,"7,108",82.86,"39,831",14.79,0,0.0
32640,LG유플러스 ,"11,250",-100,-0.88,"1,642",6.85,"1,690",6.66,"17,852",0.63,550,4.89
11070,LG이노텍 ,"283,000","-5,000",-1.74,"37,537",7.54,"54,851",5.16,"140,050",2.02,"3,000",1.06
66570,LG전자 ,"82,800",-900,-1.08,"5,725",14.46,"10,754",7.70,"95,691",0.87,850,1.03
51910,LG화학 ,"683,000","11,000",1.64,"47,108",14.50,"36,616",18.65,"278,455",2.45,"12,000",1.76
35420,NAVER ,"169,000","-5,000",-2.87,"110,854",1.52,"8,271",20.43,"157,641",1.07,511,0.3
10060,OCI ,"101,000","-2,500",-2.42,"27,387",3.69,"32,594",3.10,"128,783",0.78,"2,000",1.98
5490,POSCO홀딩스 ,"258,000",-500,-0.19,"87,330",2.95,"49,590",5.20,"666,803",0.39,"17,000",6.59
10950,S-Oil ,"89,700","-2,200",-2.39,"11,840",7.58,"16,125",5.56,"60,024",1.49,"3,800",4.24
34730,SK ,"219,500","1,000",0.46,"37,408",5.87,"31,564",6.95,"375,047",0.59,"8,000",3.64
11790,SKC ,"107,000","3,500",3.38,"6,174",17.33,"4,711",22.71,"55,782",1.92,"1,100",1.03
302440,SK바이오사이언스 ,"80,700","-2,900",-3.47,"4,844",16.66,"1,773",45.53,"20,932",3.86,0,0.0
326030,SK바이오팜 ,"59,400",-800,-1.33,828,71.74,-,-,"5,672",10.47,0,0.0
402340,SK스퀘어 ,"36,850",-350,-0.94,"2,653",13.89,"6,997",5.27,"117,868",0.31,0,0.0
361610,SK아이이테크놀로지 ,"55,700","-4,300",-7.17,"1,394",39.96,"1,693",32.90,"31,084",1.79,0,0.0
96770,SK이노베이션 ,"189,500","6,000",3.27,"3,640",52.06,"23,096",8.20,"206,117",0.92,"2,508",1.32
17670,SK텔레콤 ,"50,400",100,0.2,"7,191",7.01,"5,187",9.72,"53,218",0.95,"3,295",6.54
660,SK하이닉스 ,"82,700","-1,800",-2.13,"13,989",5.91,990,83.56,"90,394",0.91,"1,540",1.86
35250,강원랜드 ,"23,000",50,0.22,-,-,"1,572",14.63,"16,044",1.43,0,0.0
10130,고려아연 ,"586,000","-35,000",-5.64,"45,648",12.84,"43,936",13.34,"430,439",1.36,"20,000",3.41
11780,금호석유 ,"134,500","-3,000",-2.18,"70,433",1.91,"25,315",5.31,"181,037",0.74,"10,000",7.43
270,기아 ,"64,500","-1,700",-2.57,"11,874",5.43,"15,711",4.11,"87,073",0.74,"3,000",4.65
24110,기업은행 ,"10,400",-100,-0.95,"2,877",3.61,"3,549",2.93,"34,345",0.30,780,7.5
251270,넷마블 ,"45,000","-2,550",-5.36,"2,933",15.34,"1,047",43.00,"70,683",0.64,528,1.17
42660,대우조선해양 ,"18,350",-300,-1.61,-,-,704,26.07,"20,672",0.89,0,0.0
3490,대한항공 ,"22,800",-50,-0.22,"1,743",13.08,"3,308",6.89,"19,356",1.18,0,0.0
241560,두산밥캣 ,"35,100",550,1.59,"3,845",9.13,"5,666",6.19,"43,105",0.81,"1,200",3.42
34020,두산에너빌리티 ,"14,950",550,3.82,"1,052",14.21,752,19.87,"11,261",1.33,0,0.0
11170,롯데케미칼 ,"159,000","-1,000",-0.63,"39,260",4.05,"17,022",9.34,"420,424",0.38,"8,300",5.22
60,메리츠화재 ,"31,900",-150,-0.47,"5,768",5.53,"6,802",4.69,"22,086",1.44,620,1.94
6800,미래에셋증권 ,"6,230",-170,-2.66,"1,803",3.46,"1,042",5.98,"16,780",0.37,300,4.82
6400,삼성SDI ,"739,000","14,000",1.93,"17,492",42.25,"32,453",22.77,"219,885",3.36,"1,000",0.14
28260,삼성물산 ,"121,000","2,000",1.68,"9,913",12.21,"10,327",11.72,"184,352",0.66,"4,200",3.47
207940,삼성바이오로직스 ,"870,000","-3,000",-0.34,"5,879",147.98,"10,682",81.45,"74,551",11.67,0,0.0
32830,삼성생명 ,"66,800",-500,-0.74,"8,183",8.16,"6,629",10.08,"210,566",0.32,"3,000",4.49
18260,삼성에스디에스 ,"125,000",-500,-0.4,"7,901",15.82,"10,115",12.36,"93,454",1.34,"2,400",1.92
28050,삼성엔지니어링 ,"25,750","1,400",5.75,"1,900",13.55,"2,536",10.15,"10,216",2.52,0,0.0
9150,삼성전기 ,"120,500",-500,-0.41,"11,811",10.20,"11,975",10.06,"88,937",1.35,"2,100",1.74
5930,삼성전자 ,"59,200",-400,-0.67,"5,777",10.25,"4,133",14.32,"43,611",1.36,"1,444",2.44
10140,삼성중공업 ,"5,320",110,2.11,-,-,-,-,"4,813",1.11,0,0.0
16360,삼성증권 ,"31,550",-650,-2.02,"10,810",2.92,"6,656",4.74,"68,096",0.46,"3,800",12.04
810,삼성화재 ,"201,500","-2,500",-1.23,"26,399",7.63,"21,079",9.56,"363,848",0.55,"12,000",5.96
68270,셀트리온 ,"185,000","-2,500",-1.33,"4,134",44.75,"5,352",34.57,"28,307",6.54,750,0.41
68760,셀트리온제약 ,"66,000","-1,700",-2.51,921,71.66,-,-,"8,841",7.47,0,0.0
91990,셀트리온헬스케어 ,"67,600","-1,400",-2.03,977,69.19,"1,552",43.56,"13,473",5.02,260,0.38
55550,신한지주 ,"35,550",-450,-1.25,"7,308",4.86,"9,285",3.83,"88,548",0.40,"1,960",5.51
96530,씨젠 ,"29,700",-800,-2.62,"10,359",2.87,"2,652",11.20,"20,971",1.42,"1,000",3.37
90430,아모레퍼시픽 ,"97,100","-5,400",-5.27,"2,820",34.43,"3,808",25.50,"69,049",1.41,980,1.01
196170,알테오젠 ,"34,750","-2,150",-5.83,-,-,209,166.45,"2,634",13.19,0,0.0
137310,에스디바이오센서 ,"30,350",-350,-1.14,"10,918",2.78,"4,812",6.31,"21,658",1.40,"1,266",4.17
247540,에코프로비엠 ,"111,600","1,900",1.73,"1,153",96.79,"4,447",25.09,"5,969",18.70,920,0.82
36570,엔씨소프트 ,"385,500","-15,000",-3.75,"19,318",19.96,"22,418",17.20,"155,059",2.49,"5,860",1.52
66970,엘앤에프 ,"216,500",500,0.23,-,-,"9,831",22.02,"19,899",10.88,0,0.0
271560,오리온 ,"99,000","-1,500",-1.49,"6,519",15.19,"8,867",11.17,"55,935",1.77,750,0.76
316140,우리금융지주 ,"11,400",-200,-1.72,"3,481",3.27,"4,396",2.59,"35,494",0.32,900,7.89
100,유한양행 ,"59,200","-1,100",-1.82,"1,496",39.57,"1,656",35.75,"28,297",2.09,400,0.68
139480,이마트 ,"85,500","-1,000",-1.16,"56,152",1.52,"13,022",6.57,"369,202",0.23,"2,000",2.34
20150,일진머티리얼즈 ,"63,300",800,1.28,"1,361",46.51,"2,396",26.41,"21,440",2.95,300,0.47
35720,카카오 ,"50,100","-2,200",-4.21,"3,221",15.55,"1,643",30.49,"23,018",2.18,53,0.11
293490,카카오게임즈 ,"37,400","-2,100",-5.32,"7,073",5.29,"3,052",12.25,"27,171",1.38,0,0.0
323410,카카오뱅크 ,"19,850",-400,-1.98,467,42.51,755,26.28,"11,620",1.71,0,0.0
377300,카카오페이 ,"37,750","-1,250",-3.21,-,-,128,294.40,"12,839",2.94,0,0.0
21240,코웨이 ,"53,900","-1,200",-2.18,"6,418",8.40,"7,208",7.48,"26,268",2.05,"1,250",2.32
259960,크래프톤 ,"183,000","-11,000",-5.67,"12,022",15.22,"14,372",12.73,"98,465",1.86,0,0.0
28670,팬오션 ,"4,180",-240,-5.43,"1,028",4.07,"1,178",3.55,"6,728",0.62,100,2.39
263750,펄어비스 ,"42,800","-1,900",-4.25,973,43.99,"2,285",18.73,"11,757",3.64,0,0.0
3670,포스코케미칼 ,"212,000","14,000",7.07,"1,753",120.94,"4,705",45.06,"30,845",6.87,300,0.14
86790,하나금융지주 ,"40,850",-350,-0.85,"11,819",3.46,"12,606",3.24,"117,363",0.35,"3,100",7.59
352820,하이브 ,"124,500","-2,500",-1.97,"3,625",34.34,"4,502",27.66,"67,998",1.83,0,0.0
36460,한국가스공사 ,"35,050",200,0.57,"11,078",3.16,"12,199",2.87,"103,337",0.34,"2,728",7.78
71050,한국금융지주 ,"49,700",-700,-1.39,"30,208",1.65,"14,775",3.36,"126,688",0.39,"6,150",12.37
15760,한국전력 ,"16,700",-50,-0.3,-,-,-,-,"99,334",0.17,0,0.0
9540,한국조선해양 ,"74,700",-300,-0.4,-,-,"9,123",8.19,"139,385",0.54,0,0.0
161390,한국타이어앤테크놀로지 ,"32,350","-3,200",-9.0,"4,901",6.60,"5,320",6.08,"66,955",0.48,700,2.16
47810,한국항공우주 ,"48,850",350,0.72,656,74.47,"2,144",22.78,"13,023",3.75,200,0.41
128940,한미약품 ,"250,500","-6,000",-2.34,"5,483",45.69,"8,273",30.28,"65,719",3.81,500,0.2
18880,한온시스템 ,"7,830",-140,-1.76,578,13.55,616,12.72,"4,391",1.78,360,4.6
9830,한화솔루션 ,"49,100",-50,-0.1,"3,320",14.79,"4,588",10.70,"42,563",1.15,0,0.0
720,현대건설 ,"38,450","1,400",3.78,"3,625",10.61,"4,635",8.29,"64,200",0.60,600,1.56
86280,현대글로비스 ,"171,500","-2,000",-1.15,"20,877",8.21,"34,843",4.92,"154,732",1.11,"3,800",2.22
12330,현대모비스 ,"218,500",-500,-0.23,"25,645",8.52,"34,377",6.36,"387,397",0.56,"4,000",1.83
4020,현대제철 ,"29,150",-250,-0.85,"11,110",2.62,"8,836",3.30,"135,836",0.21,"1,000",3.43
329180,현대중공업 ,"111,000","-1,000",-0.89,-,-,"2,428",45.72,"63,015",1.76,0,0.0
5380,현대차 ,"162,000","-3,000",-1.82,"18,979",8.54,"30,151",5.37,"289,609",0.56,"5,000",3.09
8770,호텔신라 ,"62,700","-1,800",-2.79,714,87.82,"2,693",23.28,"15,228",4.12,200,0.32